Word	Part of Speech	Origin	Definition
demantoid	noun	German	a green andradite used as a gemstone
demarche	noun	French	a move or step or maneuver in political or diplomatic affairs
demesne	noun	Middle English	territory over which rule or control is exercised
demitasse	noun	French	small coffee cup
demiurge	noun	Late Latin	"a subordinate deity, in some philosophies the creator of the universe"
demoiselle	noun	French	small brilliantly colored tropical marine fishes of coral reefs
demotic	adjective	Greek	of or for the common people
demulcent	adjective	Latin	having a softening or soothing effect especially to the skin
demure	adjective	Middle English	affectedly modest or shy especially in a playful or provocative way
dengue	noun	American Spanish	an infectious disease of the tropics transmitted by mosquitoes and characterized by rash and aching head and joints
denier	noun	Middle English	one who denies
denigrate	verb	Latin	charge falsely or with malicious intent
denigration	noun	Latin	a belittling comment
denouement	noun	French	the final resolution of the main complication of a literary or dramatic work
dentifrice	noun	Middle English	a substance for cleaning the teeth
depilation	noun	Middle French or Medieval Latin	the act of removing hair
derogation	noun	Middle English	the partial taking away of the effectiveness of a law
desiccate	adjective	Latin	lacking vitality or spirit
desideratum	noun	Latin	something desired as a necessity
desquamate	verb	Latin	peel off in scales
destitute	adjective	Middle English	poor enough to need help from others
desuetude	noun	Middle English	a state of inactivity or disuse
desultory	adjective	Latin	marked by lack of definite plan or regularity or purpose
detente	noun	French	the easing of tensions or strained relations
detritus	noun	French	loose material that is worn away from rocks
deuteranopia	noun	New Latin	dichromacy characterized by a lowered sensitivity to green light resulting in an inability to distinguish green and purplish-red
deuterium	noun	New Latin	an isotope of hydrogen which has one neutron
devouring	adjective	Middle English	ardently or excessively desirous
dexterity	noun	Middle French or Latin	adroitness in using the hands
diabetes	noun	Latin	any of several metabolic disorders marked by excessive urination and persistent thirst
diadem	noun	Middle English	an ornamental jewelled headdress signifying sovereignty
diagrammatic	adjective	Greek	shown or represented by diagrams
dialysis	noun	New Latin	separation of substances in solution by means of their unequal diffusion through semipermeable membranes
diamantine	adjective	French	consisting of diamonds or resembling diamonds
diapason	noun	Middle English	either of the two main stops on a pipe organ
diapedesis	noun	New Latin	passage of blood cells through intact capillary walls and into the surrounding tissue
diaphanous	adjective	Medieval Latin	so thin as to transmit light
diaphoresis	noun	Late Latin	the process of the sweat glands of the skin secreting a salty fluid
diaspora	noun	Greek	the dispersion or spreading of something that was originally localized
diathermy	noun	International Scientific Vocabulary	a method of physical therapy that involves generating local heat in body tissues by high-frequency electromagnetic currents
dichondra	noun	New Latin	a creeping perennial herb with hairy stems and orbicular to reniform leaves and small white to greenish flowers
dichotomy	noun	Greek	being twofold
dictum	noun	Latin	an authoritative declaration
didacticism	noun	Greek	communication that is suitable for or intended to be instructive
dido	noun	Latin	a princess of Tyre who was the founder and queen of Carthage
dieffenbachia	noun	New Latin	evergreen perennial herbs of tropical America with lush foliage and poisonous sap
diffident	adjective	Middle English	lacking self-confidence
digitalis	noun	New Latin	a powerful cardiac stimulant obtained from foxglove
dilatory	adjective	Middle English	wasting time
dilemma	noun	Late Latin	state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options
diligent	adjective	Middle English	characterized by care and perseverance in carrying out tasks
diluent	noun	Latin	a diluting agent
Dimetrodon	noun	New Latin	carnivorous dinosaur of the Permian in North America having a crest or dorsal sail
diocese	noun	Middle English	the territorial jurisdiction of a bishop
diorama	noun	French	a picture representing a continuous scene
diphtheria	noun	New Latin	acute contagious infection caused by the bacterium Corynebacterium diphtheriae
diphthong	noun	Middle English	a vowel sound that starts near the articulatory position for one vowel and moves toward the position for another
diplodocus	noun	New Latin	a huge quadrupedal herbivore with long neck and tail
diptych	noun	Late Latin	a painting or carving on two panels
dirigible	adjective	Latin	capable of being steered or directed
discreet	adjective	Middle English	marked by prudence or modesty and wise self-restraint
discrete	adjective	Middle English	constituting a separate entity or part
discursively	adverb	Medieval Latin	in a rambling manner
disembark	verb	Middle French	go ashore
disguise	noun	Middle English	the act of concealing the identity of something by modifying its appearance
disparage	verb	Middle English	express a negative opinion of
disparity	noun	Middle English	inequality or difference in some respect
dispel	verb	Middle English	force to go away
disquisition	noun	Latin	an elaborate analytical or explanatory essay or discussion
dissemble	verb	Middle English	behave unnaturally or affectedly
dissentient	noun	Latin	someone expressing dissent
dissilient	adjective	Latin	bursting open with force, as do some ripe seed vessels
dissimilitude	noun	Middle English	dissimilarity evidenced by an absence of likeness
dissimulate	verb	Middle English	hide from other people
dissonant	adjective	Middle English	lacking in harmony
dissuade	verb	Middle French or Latin	turn away from by persuasion
distraught	adjective	Middle English	deeply agitated especially from emotion
dithyramb	noun	Greek	a passionate hymn
diurnal	adjective	Middle English	having a daily cycle or occurring every day
divagate	verb	Late Latin	"lose clarity or turn aside especially from the main subject of attention or course of argument in writing, thinking, or speaking"
divergent	adjective	Latin	tending to move apart in different directions
divers	adjective	Middle English	many and different
divertimento	noun	Italian	a musical composition in several movements
divulge	verb	Middle English	make known to the public information that was previously known only to a few people or that was meant to be kept a secret
docility	noun	Latin	the trait of being agreeably submissive and manageable
doctrinaire	adjective	French	stubbornly insistent on theory without regard for practicality or suitability
dodecahedron	noun	Greek	any polyhedron having twelve plane faces
dolabriform	adjective	Latin	having the shape of the head of an ax or cleaver
dolomite	noun	French	a light colored mineral consisting of calcium magnesium carbonate
domestic	adjective	Middle English	produced in a particular country
dominant	adjective	Middle French or Latin	exercising influence or control
dormition	noun	Middle French	celebration in the Eastern Orthodox church of the Virgin Mary's being taken up into heaven when her earthly life ended
dormitory	noun	Middle English	a college or university building containing living quarters for students
dorsal	adjective	Late Latin	belonging to or on or near the back or upper surface of an animal or organ or part
dossier	noun	French	a collection of papers containing detailed information about a particular person or subject
dowager	noun	Middle French	a widow holding property received from her deceased husband
doxology	noun	Medieval Latin	a hymn or verse in Christian liturgy glorifying God
doyen	noun	French	a man who is the senior member of a group
draconian	adjective	Latin	of or relating to Draco or his harsh code of laws
dragoman	noun	Middle English	an interpreter and guide in the Near East
dragoon	noun	French	a member of a European military unit formerly composed of heavily armed cavalrymen
dressage	noun	French	maneuvers of a horse in response to body signals by the rider
drivel	noun	Middle English	a worthless message
drone	noun	Middle English	stingless male bee in a colony of social bees whose sole function is to mate with the queen
drosophila	noun	New Latin	small fruit fly used by Thomas Hunt Morgan in studying basic mechanisms of inheritance
drumlin	noun	Irish	a mound of glacial drift
dubiety	noun	Late Latin	the state of being unsure of something
dubiously	adverb	Latin	in a doubtful manner
duchy	noun	Middle English	the domain controlled by a duke or duchess
dudgeon	noun	origin unknown	a feeling of intense indignation
dudgeon	noun	origin unknown	a feeling of intense indignation
duenna	noun	Spanish	a woman chaperon
dulcet	adjective	Middle English	pleasing to the ear
dulcify	verb	Late Latin	make sweeter in taste
dulcinea	noun	Spanish	a woman who is a man's sweetheart
duplicity	noun	Middle English	acting in bad faith
duress	noun	Middle English	compulsory force or threat
duvet	noun	French	a soft quilt usually filled with the down of the eider
dyskinesia	noun	New Latin	abnormality in performing voluntary muscle movements
dyslexia	noun	New Latin	impaired ability to learn to read
dyspepsia	noun	Latin	a disorder of digestive function characterized by discomfort or heartburn or nausea
dysphagia	noun	New Latin	condition in which swallowing is difficult or painful
dysphasia	noun	New Latin	an impairment of language that is usually due to brain damage
dysphonia	noun	New Latin	speech disorder attributable to a disorder of phonation
dysphoria	noun	New Latin	abnormal depression and discontent
dysthymia	noun	New Latin	mild chronic depression
dystrophy	noun	New Latin	any degenerative disorder resulting from inadequate or faulty nutrition
earnest	adjective	Middle English	characterized by a firm and humorless belief in the validity of your opinions
ebullient	adjective	Latin	joyously unrestrained
ecchymosis	noun	New Latin	the escape of blood from ruptured blood vessels into the surrounding tissue to form a purple or black-and-blue spot on the skin
ecclesiastical	adjective	Middle English	of or associated with a church
ecdysis	noun	New Latin	periodic shedding of the cuticle in arthropods or the outer skin in reptiles
ecesis	noun	New Latin	the process by which a plant or animal becomes established in a new habitat
echelon	noun	French	a diffraction grating consisting of a pile of plates of equal thickness arranged stepwise with a constant offset
echidna	noun	New Latin	a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites
echinacea	noun	New Latin	small genus of North American coarse perennial herbs
echinoderm	noun	New Latin	marine invertebrates with tube feet and five-part radially symmetrical bodies
echolalia	noun	New Latin	mechanical and meaningless repetition of the words of another person
echt	adjective	German	not fake or counterfeit
eclectic	adjective	Greek	selecting what seems best of various styles or ideas
eclipse	noun	Middle English	one celestial body obscures another
eclogue	noun	Middle English	a short descriptive poem of rural or pastoral life
ecphonesis	noun	Greek	an exclamatory rhetorical device
ecru	noun	French	a very light brown
ectoparasite	noun	International Scientific Vocabulary	any external parasitic organism
edacious	adjective	Latin	devouring or craving food in great quantities
edelweiss	noun	German	alpine perennial plant native to Europe having leaves covered with whitish down and small flower heads held in stars of glistening whitish bracts
edentulous	adjective	Latin	having lost teeth
edifice	noun	Middle English	a structure that has a roof and walls and stands more or less permanently in one place
edulcorate	verb	New Latin	make sweeter in taste
effendi	noun	Turkish	a former Turkish term of respect
efficient	adjective	Middle English	being effective without wasting time or effort or expense
effluvium	noun	Latin	a foul-smelling outflow or vapor
effrontery	noun	French	audacious behavior that you have no right to
egalitarian	adjective	French	favoring social equality
eglantine	noun	Middle English	Eurasian rose with prickly stems and fragrant leaves and bright pink flowers followed by scarlet hips
egregious	adjective	Latin	conspicuously and outrageously bad or reprehensible
egress	noun	Latin	the act of coming out
eidetic	adjective	Greek	of visual imagery of almost photographic accuracy
einsteinium	noun	New Latin	a radioactive transuranic element produced by bombarding plutonium with neutrons
eisegesis	noun	Greek	personal interpretation of a text using your own ideas
eland	noun	Afrikaans	either of two large African antelopes of the genus Taurotragus having short spirally twisted horns in both sexes
elaterid	noun	New Latin	any of various widely distributed beetles
electroencephalograph	noun	International Scientific Vocabulary	medical instrument that records electric currents generated by the brain
eleemosynary	adjective	Medieval Latin	generous in assistance to the poor
elicitation	noun	Latin	stimulation that calls up a particular class of behaviors
elision	noun	Late Latin	omission of a sound between two words
elocution	noun	Middle English	an expert manner of speaking involving control of voice and gesture
elucidate	verb	Late Latin	make free from confusion or ambiguity
elysium	noun	Latin	the abode of the blessed after death
emaciated	adjective	Latin	very thin especially from disease or hunger or cold
embargo	noun	Spanish	a government order imposing a trade barrier
embezzled	adjective	Middle English	taken for your own use in violation of a trust
embezzlement	noun	Middle English	the fraudulent appropriation of funds or property entrusted to your care but actually owned by someone else
embouchure	noun	French	the aperture of a wind instrument into which the player blows directly
embrasure	noun	French	an opening for firing through
embrocation	noun	Middle English	a medicinal liquid that is rubbed into the skin to relieve muscular stiffness and pain
emeritus	adjective	Latin	honorably retired from assigned duties and retaining your title along with the additional title `emeritus' as in `professor emeritus'
emery	noun	Middle English	a hard grey-black mineral consisting of corundum and either hematite or magnetite
emetic	noun	Latin	a medicine that induces nausea and vomiting
emigrate	verb	Latin	leave one's country of residence for a new one
emissary	noun	Latin	someone sent on a mission to represent the interests of someone else
emolument	noun	Middle English	compensation received by virtue of holding an office or having employment
empennage	noun	French	the rear part of an aircraft
emperor	noun	Middle English	large moth of temperate forests of Eurasia having heavily scaled transparent wings
emphysema	noun	New Latin	an abnormal condition of the lungs marked by decreased respiratory function
emphysematous	adjective	New Latin	relating to or resembling or being emphysema
empyreal	adjective	Late Latin	inspiring awe
emulsion	noun	New Latin	a light-sensitive coating on paper or film
enamel	noun	Middle English	any smooth glossy coating that resembles ceramic glaze
enatic	adjective	Latin	related on the mother's side
enceinte	adjective	French	in an advanced stage of pregnancy
encephalon	noun	New Latin	that part of the central nervous system that includes all the higher nervous centers
encolure	noun	French	the mane of a horse
encomium	noun	Latin	a formal expression of praise
encroachment	noun	Middle English	influencing strongly
endocrine	adjective	International Scientific Vocabulary	of or belonging to endocrine glands or their secretions
endorphin	noun	International Scientific Vocabulary	a neurochemical occurring naturally in the brain and having analgesic properties
enervate	verb	Latin	weaken mentally or morally
enervated	adjective	Latin	lacking strength or vigor
enfilade	noun	French	gunfire directed along the length rather than the breadth of a formation
enforceable	adjective	Middle English	capable of being enforced
enmity	noun	Middle English	the feeling of a hostile person
ennui	noun	French	the feeling of being bored by something tedious
ensilage	noun	French	fodder harvested while green and kept succulent by partial fermentation as in a silo
entelechy	noun	Late Latin	the state of something that is fully realized
entente	noun	French	a friendly understanding between political powers
enticement	noun	Middle English	the act of influencing by exciting hope or desire
entourage	noun	French	the group following and attending to some important person
entrepreneur	noun	French	someone who organizes a business venture and assumes the risk for it
entresol	noun	French	intermediate floor just above the ground floor
enzyme	noun	German	any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions
eohippus	noun	New Latin	earliest horse
epenthesis	noun	Late Latin	the insertion of a vowel or consonant into a word to make its pronunciation easier
ephedrine	noun	New Latin	white odorless powdered or crystalline alkaloid from plants of the genus Ephedra or made synthetically
ephemeral	adjective	Greek	lasting a very short time
ephemeris	noun	Latin	an annual publication containing astronomical tables that give the positions of the celestial bodies throughout the year
epicycle	noun	Middle English	a circle that rolls around another circle
epideictic	adjective	Greek	designed primarily for rhetorical display
epidemiologist	noun	Late Latin	a medical scientist who studies the transmission and control of epidemic diseases
epidermis	noun	Late Latin	the outer layer of the skin covering the exterior body surface of vertebrates
epiglottis	noun	New Latin	a flap of cartilage that covers the windpipe while swallowing
epigram	noun	Middle English	a witty saying
epiphysis	noun	New Latin	the end of a long bone
epistaxis	noun	New Latin	bleeding from the nose
epithelium	noun	New Latin	membranous tissue covering internal organs and other internal surfaces of the body
epithet	noun	Latin	descriptive word or phrase
epitome	noun	Latin	a typical or ideal example
epizootic	adjective	French	epidemic among animals of a single kind within a particular region
epoch	noun	Medieval Latin	a unit of geological time
epsilon	noun	Greek	the 5th letter of the Greek alphabet
equanimity	noun	Latin	steadiness of mind under stress
equilibrium	noun	Latin	a sensory system located in structures of the inner ear that registers the orientation of the head
equitation	noun	Middle French	the sport of siting on the back of a horse while controlling its movements
equivalent	adjective	Middle English	being essentially equal to something
eradicate	verb	Latin	kill in large numbers
ergo	adverb	Middle English	therefore or consequently
eristic	adjective	Greek	given to disputation for its own sake and often employing specious arguments
ermine	noun	Middle English	mustelid of northern hemisphere in its white winter coat
erratum	noun	Latin	a mistake in printed matter resulting from mechanical failures of some kind
erroneously	adverb	Middle English	in a mistaken manner
ersatz	adjective	German	artificial and inferior
erudite	adjective	Middle English	having or showing profound knowledge
erythema	noun	New Latin	abnormal redness of the skin resulting from dilation of blood vessels
erythematous	adjective	New Latin	relating to or characterized by erythema
erythrocyte	noun	International Scientific Vocabulary	a mature blood cell that contains hemoglobin to carry oxygen to the bodily tissues
Esau	noun	Latin	the eldest son of Isaac who would have inherited the covenant that God made with Abraham and that Abraham passed on to Isaac
escargot	noun	French	edible terrestrial snail usually served in the shell with a sauce of melted butter and garlic
escarole	noun	French	variety of endive having leaves with irregular frilled edges
escarpment	noun	French	a steep artificial slope in front of a fortification
eschatology	noun	Greek	the branch of theology that is concerned with such final things as death and judgment
espadrille	noun	French	a sandal with a sole made of rope or rubber and a cloth upper part
estaminet	noun	French	a small cafe selling wine and beer and coffee
estragon	noun	French	fresh leaves used as seasoning
esurient	adjective	Latin	devouring or craving food in great quantities
ethos	noun	New Latin	the distinctive spirit of a culture or an era
etiquette	noun	French	rules governing socially acceptable behavior
etymological	adjective	Middle English	based on or belonging to etymology
etymology	noun	Middle English	the study of the sources and development of words
etymon	noun	Latin	a simple form inferred as the common basis from which related words in several languages can be derived by linguistic processes
eucalyptus	noun	New Latin	a tree of the genus Eucalyptus
Eucharist	noun	Middle English	a Christian sacrament commemorating the Last Supper by consecrating bread and wine
eucharistic	adjective	Middle English	of or relating to the sacrament of the Eucharist
euphemism	noun	Greek	an inoffensive expression that is substituted for one that is considered offensive
eureka	noun	Greek	a town in northwest California on an arm of the Pacific Ocean
euthanasia	noun	Greek	the act of killing someone painlessly
euthenics	noun	Greek	the study of methods of improving human well-being and efficient functioning by improving environmental conditions
evanesce	verb	Latin	disappear gradually
evanescent	adjective	Latin	tending to vanish like vapor
eviscerate	adjective	Latin	having been disembowelled
ewer	noun	Middle English	an open vessel with a handle and a spout for pouring
exacerbate	verb	Latin	exasperate or irritate
exacerbation	noun	Latin	violent and bitter exasperation
examen	noun	Latin	a critical study
exasperated	adjective	Latin	greatly annoyed
exasperating	adjective	Latin	extremely annoying or displeasing
excelsior	noun	Latin	thin curly wood shavings used for packing or stuffing
excelsior	noun	Latin	thin curly wood shavings used for packing or stuffing
excogitate	verb	Latin	reflect deeply on a subject
excoriate	verb	Middle English	express strong disapproval of
exculpate	verb	Medieval Latin	pronounce not guilty of criminal charges
excursus	noun	Latin	a message that departs from the main subject
exegetical	adjective	Greek	relating to exegesis
exemplar	noun	Middle English	something to be imitated
exhilarate	verb	Latin	fill with sublime emotion
exhume	verb	Middle English	dig up for reburial or for medical investigation
exiguous	adjective	Latin	extremely scanty
exogenous	adjective	French	derived or originating externally
exonerate	verb	Middle English	pronounce not guilty of criminal charges
exorbitant	adjective	Middle English	greatly exceeding bounds of reason or moderation
exotic	adjective	Latin	strikingly strange or unusual
expatiate	verb	Latin	"add details, as to an account or idea"
expatiation	noun	Latin	a discussion that enlarges on a topic or theme at length or in detail
expediently	adverb	Middle English	in an expedient manner
expertise	noun	French	skillfulness by virtue of possessing special knowledge
expiate	verb	Latin	make amends for
expropriate	verb	Medieval Latin	deprive of possessions
expurgate	verb	Latin	edit by omitting or modifying parts considered indelicate
exsiccate	verb	Middle English	lose water or moisture
extirpate	verb	Latin	surgically remove
extirpation	noun	Latin	the act of pulling up or out
extraneous	adjective	Latin	not essential
extravasate	verb	Latin	"geology: cause molten material, such as lava, to pour forth"
facade	noun	French	the face or front of a building
facetious	adjective	Middle French	cleverly amusing in tone
facetiously	adverb	Middle French	not seriously
facsimile	noun	Latin	duplicator that transmits the copy by wire or radio
factitious	adjective	Latin	not produced by natural forces
factotum	noun	New Latin	a servant employed to do a variety of jobs
facula	noun	New Latin	a large bright spot on the sun's photosphere occurring most frequently in the vicinity of sunspots
faculty	noun	Middle English	one of the inherent cognitive or perceptual powers of the mind
faineant	adjective	French	disinclined to work or exertion
falcate	adjective	Latin	curved like a sickle
fallacy	noun	Latin	a misconception resulting from incorrect reasoning
fallow	adjective	Middle English	undeveloped but potentially useful
famulus	noun	German	a close attendant
farfalle	noun	Italian	"pasta shaped with scalloped edges and pinched in the middle, suggestive of a bow tie"
farina	noun	Latin	fine meal made from cereal grain especially wheat
fascism	noun	Italian	a political theory advocating an authoritarian hierarchical government
fasten	verb	Middle English	attach to
fastidious	adjective	Middle English	giving careful attention to detail
fatigue	noun	French	boredom resulting from overexposure to something
fatuously	adverb	Latin	vacuously or complacently and unconsciously foolish
fauve	noun	French	a member of a group of French painters who followed fauvism
favus	noun	New Latin	a contagious fungal infection of the scalp
fealty	noun	Middle English	the loyalty that citizens owe to their country
fecund	adjective	Middle English	capable of producing offspring or vegetation
feigning	noun	Middle English	the act of giving a false appearance
feint	noun	French	any distracting or deceptive maneuver
fenestella	noun	Latin	oval or circular opening
feral	adjective	Medieval Latin	wild and menacing
fervent	adjective	Middle English	extremely hot
festinate	verb	Latin	act or move at high speed
fete	noun	Middle English	an elaborate party
fiasco	noun	Italian	a sudden and violent collapse
fiasco	noun	Italian	a sudden and violent collapse
fibrinogen	noun	International Scientific Vocabulary	a protein present in blood plasma
fibula	noun	Latin	the outer and thinner of the two bones of the human leg between the knee and ankle
fichu	noun	French	a lightweight triangular scarf worn by a woman
fictile	adjective	Latin	capable of being molded or modeled
fidelity	noun	Middle English	accuracy with which an electronic system reproduces the sound or image of its input signal
fiduciary	adjective	Latin	relating to or of the nature of a legal trust
filibuster	noun	Spanish	a tactic for delaying or obstructing legislation by making long speeches
finite	adjective	Middle English	bounded or limited in magnitude or spatial or temporal extent
firmament	noun	Middle English	the apparent surface of the imaginary sphere on which celestial bodies appear to be projected
firth	noun	Middle English	a long narrow estuary
fissiparous	adjective	Latin	reproducing by fission
flabbergast	verb	origin unknown	overcome with amazement
flaccidity	noun	Latin	a flabby softness
flageolet	noun	French	a small fipple flute with four finger holes and two thumb holes
flagitious	adjective	Middle English	shockingly brutal or cruel
flagon	noun	Middle English	a large metal or pottery vessel with a handle and spout
flagrant	adjective	Latin	conspicuously and outrageously bad or reprehensible
flambeau	noun	French	a flaming torch
flammable	adjective	Latin	easily ignited
flense	verb	Dutch	strip the blubber or skin from
flibbertigibbet	noun	Middle English	a female fool
florid	adjective	Latin	inclined to a healthy reddish color often associated with outdoor life
florilegium	noun	New Latin	an anthology of short literary pieces and poems and ballads etc.
florin	noun	Middle English	formerly the basic unit of money in the Netherlands
flotilla	noun	Spanish	a fleet of small craft
flotsam	noun	Anglo-French	the floating wreckage of a ship
fluctuate	verb	Latin	be unstable
flummery	noun	Welsh	a bland custard or pudding especially of oatmeal
folliculitis	noun	New Latin	inflammation of a hair follicle
fondant	noun	French	candy made of a thick creamy sugar paste
fondu	noun	French	hot cheese or chocolate melted to the consistency of a sauce into which bread or fruits are dipped
forage	noun	Middle English	the act of searching for food and provisions
foramen	noun	Latin	a natural opening or perforation through a bone or a membranous structure
formaldehyde	noun	International Scientific Vocabulary	a colorless poisonous gas
formicary	noun	Medieval Latin	a mound of earth made by ants as they dig their nest
forsythia	noun	New Latin	any of various early blooming oleaceous shrubs of the genus Forsythia
Forsythia	noun	New Latin	any of various early blooming oleaceous shrubs of the genus Forsythia
fortissimo	adjective	Italian	chiefly a direction or description in music
fortuitous	adjective	Latin	occurring by happy chance
fossorial	adjective	Medieval Latin	adapted for digging
fractal	noun	French	a geometric pattern that is repeated at every scale and so cannot be represented by classical geometry
fragile	adjective	Middle French	vulnerably delicate
fraise	noun	French	sloping or horizontal rampart of pointed stakes
framboise	noun	French	the common European raspberry
frangibility	noun	Middle English	quality of being easily damaged or destroyed
frangible	adjective	Middle English	capable of being broken
frangipane	noun	French	pastry with a creamy almond-flavored filling
frankincense	noun	Middle English	an aromatic gum resin obtained from various Arabian or East African trees
fraught	adjective	Middle English	filled with or attended with
fraulein	noun	German	a German courtesy title or form of address for an unmarried woman
freesia	noun	New Latin	any of several plants of the genus Freesia valued for their one-sided clusters of usually fragrant yellow or white or pink tubular flowers
frenetically	adverb	Middle English	in a very agitated manner
fresco	noun	Italian	a durable method of painting on a wall by using watercolors on wet plaster
friable	adjective	Middle French or Latin	loose and large-grained in consistency
fricassee	noun	Middle French	pieces of chicken or other meat stewed in gravy with e.g. carrots and onions and served with noodles or dumplings
frieze	noun	Middle French	a heavy woolen fabric with a long nap
frieze	noun	Middle French	a heavy woolen fabric with a long nap
frigorific	adjective	Latin	causing cold
frippery	noun	Middle French	something of little value or significance
frisson	noun	French	an almost pleasurable sensation of fright
fritillary	noun	New Latin	butterfly with brownish wings marked with black and silver
frittata	noun	Italian	Italian omelet with diced vegetables and meats
frivolous	adjective	Middle English	not serious in content or attitude or behavior
frontispiece	noun	Middle French	front illustration facing the title page of a book
frore	adjective	Middle English	very cold
fructose	noun	International Scientific Vocabulary	a simple sugar found in honey and in many ripe fruits
fruticose	adjective	Latin	of or relating to or resembling a shrub
fugitive	adjective	Middle English	lasting for a markedly brief time
fulcrum	noun	Late Latin	the pivot about which a lever turns
fulgent	adjective	Middle English	shining intensely
fulminate	noun	Middle English	a salt or ester of fulminic acid
fulminate	noun	Middle English	a salt or ester of fulminic acid
funambulist	noun	Latin	an acrobat who performs on a tightrope or slack rope
fungible	adjective	New Latin	of goods or commodities
funicular	adjective	Latin	relating to or operated by a cable
furcate	verb	Medieval Latin	divide into two or more branches so as to form a fork
furcate	verb	Medieval Latin	divide into two or more branches so as to form a fork
furlough	noun	Dutch	a temporary leave of absence from military duty
furuncle	noun	Latin	a painful sore with a hard core filled with pus
fuselage	noun	French	the central body of an airplane that is designed to accommodate the crew and passengers
fusillade	noun	French	rapid simultaneous discharge of firearms
fustian	noun	Middle English	a strong cotton and linen fabric with a slight nap
fustigate	verb	Late Latin	strike with a cudgel
futon	noun	Japanese	mattress consisting of a pad of cotton batting that is used for sleeping on the floor or on a raised frame
gabbro	noun	Italian	one of a family of granular intrusive rocks
gadgeteer	noun	origin unknown	a person who delights in designing or building or using gadgets
Gaelic	adjective	Scottish Gaelic	relating to or characteristic of the Celts
gaillardia	noun	New Latin	any plant of western America of the genus Gaillardia having hairy leaves and long-stalked flowers in hot vibrant colors from golden yellow and copper to rich burgundy
galaxy	noun	Middle English	a splendid assemblage
galbulus	noun	Latin	the seed-producing cone of a cypress tree
gallimaufry	noun	Middle French	a motley assortment of things
gallinaceous	adjective	Latin	of or relating to or resembling a gallinacean
gallinule	noun	New Latin	any of various small aquatic birds of the genus Gallinula distinguished from rails by a frontal shield and a resemblance to domestic hens
gamopetalous	adjective	New Latin	having a corolla composed of partially or wholly fused petals forming a corolla shaped like a tube or funnel
gangrene	noun	Latin	necrotic tissue
gangrenous	adjective	Latin	suffering from tissue death
garbled	adjective	Middle English	lacking orderly continuity
garganey	noun	Italian dialect	small Eurasian teal
gargoyle	noun	Middle English	an ornament consisting of a grotesquely carved figure of a person or animal
garrulous	adjective	Latin	full of trivial conversation
gasconade	noun	French	an instance of boastful talk
gastrocnemius	noun	New Latin	the muscle in the back part of the leg that forms the greater part of the calf
gauche	adjective	French	lacking social polish
gaucherie	noun	French	a socially awkward or tactless act
gavage	noun	French	feeding that consists of the delivery of a nutrient solution to someone who cannot or will not eat
gavel	noun	origin unknown	a small mallet used by a presiding officer or a judge
gazette	noun	French	a newspaper or official journal
gegenschein	noun	German	a faint spot of light in the night sky that appears directly opposite the position of the sun
Gehenna	noun	Late Latin	a place where the wicked are punished after death
gelid	adjective	Latin	extremely cold
gendarme	noun	French	a French policeman
genealogical	adjective	Middle English	of or relating to genealogy
general	adjective	Middle English	prevailing among and common to the general public
genial	adjective	Greek	of or relating to the chin or median part of the lower jaw
genial	adjective	Greek	of or relating to the chin or median part of the lower jaw
geniculate	adjective	Latin	bent at a sharp angle
genoise	noun	French	rich and delicate Italian sponge cake
genre	noun	French	a class of art having a characteristic form or technique
genteel	adjective	Middle French	marked by refinement in taste and manners
gentian	noun	Middle English	any of various plants of the family Gentianaceae especially the genera Gentiana and Gentianella and Gentianopsis
genuflect	verb	Late Latin	bend the knees and bow in church or before a religious superior or image
geodesy	noun	Greek	the branch of geology that studies the shape of the earth and the determination of the exact position of geographical points
geotropism	noun	International Scientific Vocabulary	an orienting response to gravity
geriatrics	noun	Greek	the branch of medical science that deals with diseases and problems specific to old people
germinal	adjective	French	containing seeds of later development
gerontology	noun	International Scientific Vocabulary	the branch of medical science that deals with diseases and problems specific to old people
gerund	noun	Late Latin	a noun formed from a verb
gestalt	noun	German	a configuration or pattern of elements so unified as a whole that it cannot be described merely as a sum of its parts
gestapo	noun	German	the secret state police in Nazi Germany
gestation	noun	Latin	the conception and development of an idea or plan
gesticulate	verb	Latin	"show, express or direct through movement"
gesture	noun	Middle English	motion of hands or body to emphasize or help to express a thought or feeling
ghastly	adjective	Middle English	shockingly repellent
ghoulish	adjective	Arabic	suggesting the horror of death and decay
gibbet	noun	Middle English	alternative terms for gallows
gibbous	adjective	Middle English	more than half full
giddily	adverb	Middle English	in a giddy light-headed manner
giddiness	noun	Middle English	an impulsive scatterbrained manner
gigot	noun	Middle French	lamb leg suitable for roasting
gigue	noun	French	music in three-four time for dancing a jig
gimmick	noun	origin unknown	any clever maneuver
girandole	noun	French and Italian	an ornate candle holder
gitano	noun	Spanish	a Spanish male Gypsy
glabella	noun	New Latin	a smooth prominence of the frontal bone between and above the eyebrows
glabrous	adjective	Latin	having no hair or similar growth
gladiator	noun	Latin	a professional combatant or a captive who entertained the public by engaging in mortal combat
glasnost	noun	Russian	a policy of the Soviet government allowing freer discussion of social problems
glaucoma	noun	Latin	increased pressure in the eyeball due to obstruction of the outflow of aqueous humor
glaucous	adjective	Latin	"having a frosted look from a powdery coating, as on plants"
